Table: Table_1

,Q2 2022 (1) ,Q2 2021(1) ,
$ in millions, unless otherwise stated ,,,
Loss for the period ,(572) ,(801) ,
Net interest expenses ,18 ,444 ,
Other income ,(1) ,(6) ,
Income tax expenses ,2 ,2 ,
Depreciation and amortization ,38 ,86 ,
Share-based compensation expenses ,111 ,106 ,
Unrealized foreign exchange (gain) ,(4) ,(4) ,
Impairment losses on goodwill and non-financial assets ,* ,3 ,
Fair value change on investments ,173 ,(60) ,
Restructuring costs ,1 ,* ,
Legal, tax and regulatory settlement provisions ,1 ,16 ,
Adjusted EBITDA ,(233) ,(214) ,





