Table: Table_1

,,,2022/3 ,,,,,2023/3 ,,,
,,1Q ,1st Half ,Total ,,1Q ,1H Forecast (May 12) ,1H Forecast (Aug. 4) ,Total Forecast (May 12) ,Total Forecast (Aug. 4) ,
,Revenue ,132.2 ,273.0 ,539.6 ,,145.6 ,295.0 ,275.0 ,620.0 ,625.0 ,
,Operating profit ,19.9 ,32.1 ,49.9 ,,15.3 ,23.0 ,23.0 ,50.0 ,55.0 ,
Corporate Total ,Profit before income taxes ,21.1 ,35.9 ,57.0 ,,16.5 ,24.0 ,24.0 ,52.0 ,57.0 ,
,Profit attributable to owners of the parent ,15.8 ,26.4 ,42.6 ,,11.8 ,17.0 ,17.0 ,38.0 ,42.0 ,
Imaging Products ,Revenue ,50.0 ,89.2 ,178.2 ,,61.2 ,100.0 ,105.0 ,210.0 ,215.0 ,
Business ,Operating profit ,9.2 ,12.5 ,19.0 ,,13.6 ,13.0 ,18.0 ,22.0 ,27.0 ,
Precision Equipment ,Revenue ,51.8 ,119.2 ,211.2 ,,41.4 ,115.0 ,90.0 ,240.0 ,240.0 ,
Business ,Operating profit ,13.4 ,27.5 ,39.4 ,,4.0 ,13.0 ,8.0 ,35.0 ,35.0 ,
Healthcare ,Revenue ,15.8 ,33.0 ,73.2 ,,21.7 ,38.0 ,38.0 ,80.0 ,80.0 ,
Business ,Operating profit ,0.4 ,0.9 ,4.3 ,,0.8 ,3.0 ,3.0 ,6.0 ,6.0 ,
Components ,Revenue ,7.7 ,16.7 ,40.8 ,,12.9 ,26.0 ,26.0 ,53.0 ,53.0 ,
Business ,Operating profit ,2.1 ,3.4 ,12.7 ,,5.4 ,8.0 ,8.0 ,17.0 ,17.0 ,
Industrial ,Revenue ,6.7 ,14.6 ,36.0 ,,8.1 ,16.0 ,16.0 ,37.0 ,37.0 ,
Metrology and Others ,Operating profit ,-1.0 ,-1.6 ,2.9 ,,0.6 ,1.0 ,1.0 ,4.0 ,4.0 ,
Corporate profit (loss) reportable segments ,non-attributable to any ,-4.3 ,-10.7 ,-28.6 ,,-9.2 ,-15.0 ,-15.0 ,-34.0 ,-34.0 ,





Table: Table_2

1Q ,1H Forecast (May 12) ,1H Forecast (Aug. 4) ,Total Forecast (May 12) ,Total Forecast (Aug. 4) ,
130 ,120 ,125 ,120 ,122 ,
138 ,130 ,134 ,130 ,132 ,





